#Shot#    UQ_S(km/s)     UM_S(km/s)     up(km/s)     P(GPa)       rho(g/cm3)     F1  F2       CS(km/s)      Gamma
21303    19.4 ± 0.2     19.7 ± 0.2    10.0 ± 0.2    711 ± 12     7.30 ± 0.14    1.10 1.12    15.7 ± 0.3    0.93 ± 0.09
21302    22.5 ± 0.2     22.1 ± 0.1    12.3 ± 0.2    976 ± 17     8.08 ± 0.18    1.09 ***     16.5 ± 0.5    0.98 ± 0.07
20453    23.1 ± 0.1     22.9 ± 0.1    12.7 ± 0.1    1042 ± 12    8.03 ± 0.12    1.10 1.10    17.2 ± 0.3    0.91 ± 0.06
21307    23.2 ± 0.2     22.9 ± 0.1    12.8 ± 0.2    1049 ± 16    8.10 ± 0.16    1.02 1.06    17.8 ± 0.6    0.85 ± 0.09
20461    24.8 ± 0.1     24.4 ± 0.1    13.9 ± 0.1    1216 ± 11    8.32 ± 0.10    1.09 1.07    18.2 ± 0.4    0.86 ± 0.06
21312    24.8 ± 0.1     24.4 ± 0.1    14.0 ± 0.1    1222 ± 10    8.40 ± 0.11    1.05 1.03    18.5 ± 0.4    0.83 ± 0.06
21309    24.9 ± 0.1     24.4 ± 0.2    14.1 ± 0.1    1231 ± 15    8.46 ± 0.16    1.10 1.06    17.9 ± 0.6    0.90 ± 0.07
21305    26.2 ± 0.2     25.8 ± 0.1    15.0 ± 0.2    1384 ± 20    8.57 ± 0.17    1.01 1.02    19.8 ± 0.5    0.75 ± 0.07
20459    27.1 ± 0.1     26.8 ± 0.1    15.6 ± 0.1    1492 ± 14    8.57 ± 0.12    1.06 1.07    19.9 ± 0.4    0.75 ± 0.06
21310    27.2 ± 0.1     26.6 ± 0.1    15.7 ± 0.1    1498 ± 15    8.80 ± 0.14    1.05 1.04    19.6 ± 0.5    0.81 ± 0.06
21308    29.9 ± 0.1     28.8 ± 0.1    17.7 ± 0.2    1829 ± 20    9.28 ± 0.16    1.04 0.97    21.2 ± 0.7    0.77 ± 0.06
21306    31.6 ± 0.1     30.4 ± 0.1    19.0 ± 0.2    2072 ± 19    9.54 ± 0.15    *** 1.00     21.9 ± 0.5    0.76 ± 0.05
21304    33.1 ± 0.1     32.0 ± 0.2    20.1 ± 0.2    2303 ± 26    9.60 ± 0.20    1.01 0.97    23.2 ± 0.6    0.70 ± 0.07
