#Shot#    P(GPa)       F1    F2      Cs(km/s)      Gamma 
18752 	784.9 ± 6.2 	1.04 	1.02 	16.83 ± 0.51 	0.68 ± 0.04 
18754 	654.0 ± 5.4 	0.99 	0.98 	16.73 ± 0.53 	0.67 ± 0.04 
18755 	895.6 ± 6.4 	0.97 	0.97 	18.31 ± 0.60 	0.62 ± 0.04 
18757 	700.9 ± 6.2 	0.99 	0.98 	16.62 ± 0.55 	0.70 ± 0.04 
18758 	965.7 ± 6.7 	0.99 	0.97 	18.31 ± 0.63 	0.64 ± 0.04 
18760 	1040.6 ± 7.0 	0.99 	0.97 	18.88 ± 0.65 	0.62 ± 0.04 
18761 	803.1 ± 6.3 	0.97 	0.97 	17.87 ± 0.59 	0.63 ± 0.04 
18762 	1042.1 ± 7.0 	0.97 	0.96 	18.51 ± 0.64 	0.66 ± 0.04 
18763 	871.9 ± 6.3 	0.98 	0.97 	17.58 ± 0.58 	0.68 ± 0.04 
18764 	1087.3 ± 8.3 	0.97 	0.97 	19.28 ± 0.66 	0.60 ± 0.05 
18765 	968.9 ± 7.4 	0.98 	0.97 	18.04 ± 0.62 	0.67 ± 0.04 
18766 	805.7 ± 6.0 	1.02 	1.03 	16.98 ± 0.50 	0.67 ± 0.03 
19485 	279.5 ± 4.7 	0.95 	0.97 	14.20 ± 0.51 	0.71 ± 0.17 
19492 	423.7 ± 5.8 	1.00 	0.98 	14.70 ± 0.58 	0.79 ± 0.05 
19494 	558.8 ± 5.1 	0.97 	0.98 	16.28 ± 0.54 	0.68 ± 0.05 
19498 	671.8 ± 9.1 	0.99 	0.95 	16.47 ± 0.64 	0.71 ± 0.04 
19500 	674.5 ± 5.4 	0.95 	0.95 	17.01 ± 0.58 	0.68 ± 0.04 
19503 	339.9 ± 3.7 	1.00 	0.98 	14.13 ± 0.44 	0.82 ± 0.07 
